period,root_index_zero_based,mu_midpoint_decimal_approx,mu_lower_exact,mu_upper_exact,native_word,mapped_source_word,conditional_membership_match
2,0,1.0000000000000000,1,1,C1,C1,true
3,0,1.7548776662466928,2121516920990690712699727/1208925819614629174706176,132594807561918169543733/75557863725914323419136,C10,CD0,true
4,0,1.3107026413368329,396135566237297507839571/302231454903657293676544,1584542264949190031358285/1208925819614629174706176,C101,CD01,true
4,1,1.9407998065294848,2346282996816571085097315/1208925819614629174706176,586570749204142771274329/302231454903657293676544,C100,CD00,true
5,0,1.6254137251233037,1965004619857557543203163/1208925819614629174706176,491251154964389385800791/302231454903657293676544,C1011,CD011,true
5,1,1.8607825222048549,140596752236317567931939/75557863725914323419136,2249548035781081086911025/1208925819614629174706176,C1001,CD001,true
5,2,1.9854242530542053,1200115321203159038309687/604462909807314587353088,2400230642406318076619375/1208925819614629174706176,C1000,CD000,true
6,0,1.4760146427284299,1784392211723661170154673/1208925819614629174706176,892196105861830585077337/604462909807314587353088,C10111,CD0111,true
6,1,1.7728929033816238,1071648003154794561664339/604462909807314587353088,2143296006309589123328679/1208925819614629174706176,C10010,CD0010,true
6,2,1.9072800910653020,2305760147325784752932765/1208925819614629174706176,1152880073662892376466383/604462909807314587353088,C10011,CD0011,true
6,3,1.9667732163929287,2377682922623921735967733/1208925819614629174706176,1188841461311960867983867/604462909807314587353088,C10001,CD0001,true
6,4,1.9963761377111938,2413470658541592708390577/1208925819614629174706176,1206735329270796354195289/604462909807314587353088,C10000,CD0000,true
7,0,1.5748891397523010,475981036019307179823443/302231454903657293676544,1903924144077228719293773/1208925819614629174706176,C101111,CD01111,true
7,1,1.6740660914747880,1011910860862608413291333/604462909807314587353088,2023821721725216826582667/1208925819614629174706176,C101101,CD01101,true
7,2,1.8323152027512292,1107566579139187592583255/604462909807314587353088,2215133158278375185166511/1208925819614629174706176,C100101,CD00101,true
7,3,1.8848035715866818,2278587702593009678971877/1208925819614629174706176,1139293851296504839485939/604462909807314587353088,C100111,CD00111,true
7,4,1.9271477093639503,2329778624061268746263065/1208925819614629174706176,1164889312030634373131533/604462909807314587353088,C100110,CD00110,true
7,5,1.9537058942843962,2361885499533695791346723/1208925819614629174706176,590471374883423947836681/302231454903657293676544,C100010,CD00010,true
7,6,1.9771795870062574,597565863186713431982431/302231454903657293676544,2390263452746853727929725/1208925819614629174706176,C100011,CD00011,true
7,7,1.9918141725491222,300994447633622749178439/151115727451828646838272,2407955581068981993427513/1208925819614629174706176,C100001,CD00001,true
7,8,1.9990956823270185,2416758386245257162941625/1208925819614629174706176,1208379193122628581470813/604462909807314587353088,C100000,CD00000,true
